user_id,product_id,interaction_type,rating,review,interaction_date
U001,P061,Review,-,Visit investment especially general follow tend black similar.,2023-04-03
U001,P038,Review,-,Bad take bit without in upon.,2023-06-17
U001,P068,Click,-,-,2023-02-02
U001,P024,Click,-,-,2023-05-11
U001,P056,Purchase,1.1,-,2023-01-31
U001,P054,Review,-,Direction western surface.,2023-01-31
U002,P076,Review,-,Pass measure hand present.,2023-04-26
U002,P094,Click,-,-,2023-03-17
U002,P082,Click,-,-,2023-03-20
U003,P097,Purchase,2.6,-,2023-05-29
U003,P080,Purchase,3.4,-,2023-04-08
U003,P025,Click,-,-,2023-03-09
U003,P004,Purchase,3.9,-,2023-05-12
U003,P067,Purchase,3.7,-,2023-01-05
U003,P062,Purchase,4.3,-,2023-03-31
U003,P005,Purchase,4.5,-,2023-04-05
U003,P029,Purchase,2.6,-,2023-04-29
U003,P048,Review,-,Guy through teach specific.,2023-01-18
U004,P051,Click,-,-,2023-05-24
U004,P037,Review,-,Although pay past also hotel loss.,2023-06-29
U004,P063,Click,-,-,2023-01-14
U004,P014,Purchase,1.7,-,2023-04-26
U005,P038,Click,-,-,2023-06-28
U005,P066,Review,-,Case despite table during hold.,2023-04-12
U005,P063,Purchase,2.5,-,2023-02-23
U005,P093,Review,-,However above hard water fund see difficult.,2023-06-24
U005,P077,Click,-,-,2023-06-07
U005,P040,Click,-,-,2023-02-10
U005,P075,Review,-,On him bring growth build.,2023-02-02
U006,P064,Purchase,3.0,-,2023-02-18
U006,P034,Review,-,Accept assume budget technology war turn form.,2023-06-14
U006,P075,Review,-,Without choose majority side.,2023-04-06
U006,P041,Review,-,Any man green.,2023-06-14
U006,P040,Review,-,Career until pick policy similar.,2023-02-15
U006,P014,Purchase,2.6,-,2023-04-11
U006,P057,Click,-,-,2023-06-04
U006,P004,Review,-,Country agree gas those matter rest.,2023-03-14
U007,P071,Click,-,-,2023-01-26
U007,P006,Purchase,4.6,-,2023-03-11
U007,P031,Review,-,Lot argue development.,2023-01-09
U008,P024,Click,-,-,2023-06-18
U008,P071,Review,-,Adult employee address information instead.,2023-06-02
U008,P084,Review,-,Still wonder fund where.,2023-06-18
U008,P006,Click,-,-,2023-06-05
U008,P044,Click,-,-,2023-06-16
U008,P007,Review,-,West heavy class rule.,2023-01-29
U008,P031,Click,-,-,2023-01-07
U008,P089,Click,-,-,2023-03-06
U008,P003,Review,-,Region game because value.,2023-04-23
U009,P037,Review,-,Of condition many remain attention what lawyer.,2023-04-30
U009,P096,Review,-,Part soon great book ball agency.,2023-06-14
U009,P098,Review,-,Deal him answer open wait college my.,2023-04-12
U009,P078,Purchase,4.7,-,2023-04-22
U009,P083,Review,-,Not available make together after.,2023-01-26
U010,P066,Review,-,Manage term fast public their.,2023-01-18
U010,P007,Purchase,1.5,-,2023-01-26
U010,P070,Purchase,2.8,-,2023-04-10
U010,P083,Purchase,4.7,-,2023-04-26
U011,P085,Click,-,-,2023-05-12
U011,P088,Purchase,1.4,-,2023-03-29
U011,P062,Purchase,3.4,-,2023-02-03
U012,P059,Click,-,-,2023-01-24
U012,P088,Click,-,-,2023-06-01
U012,P039,Click,-,-,2023-05-14
U012,P043,Purchase,2.4,-,2023-03-29
U012,P096,Click,-,-,2023-03-12
U012,P009,Review,-,If nor practice month each maybe sort.,2023-01-07
U012,P016,Review,-,Set example too most Mrs.,2023-03-08
U013,P081,Purchase,5.0,-,2023-03-18
U013,P056,Click,-,-,2023-06-13
U013,P015,Click,-,-,2023-03-20
U013,P055,Review,-,See offer kitchen.,2023-03-07
U013,P017,Purchase,3.6,-,2023-04-03
U013,P025,Purchase,1.5,-,2023-03-13
U013,P068,Click,-,-,2023-02-12
U013,P098,Review,-,Hair believe score game indicate space.,2023-02-24
U014,P002,Review,-,Or property low budget more push fact collection.,2023-05-16
U014,P050,Review,-,Law western conference letter in sense house.,2023-02-28
U014,P053,Click,-,-,2023-02-17
U014,P045,Purchase,4.2,-,2023-01-23
U014,P043,Review,-,Bar box where day war table.,2023-02-28
U014,P057,Click,-,-,2023-04-02
U015,P071,Review,-,Become evening stay decision happen prove adult.,2023-04-10
U015,P052,Purchase,3.2,-,2023-01-18
U015,P089,Purchase,4.9,-,2023-01-23
U015,P037,Purchase,4.1,-,2023-06-17
U015,P037,Review,-,American trade service drive forward tonight.,2023-04-09
U016,P055,Review,-,Almost program herself send.,2023-04-12
U016,P005,Purchase,1.8,-,2023-05-18
U016,P075,Review,-,Produce story some sound century always.,2023-01-09
U016,P013,Click,-,-,2023-05-02
U016,P053,Review,-,Benefit week life month very song quite.,2023-02-04
U016,P075,Review,-,System foreign plant benefit boy head.,2023-04-18
U016,P012,Click,-,-,2023-01-24
U016,P061,Review,-,Size source upon someone Congress.,2023-06-19
U017,P035,Review,-,Public project body final.,2023-02-06
U017,P007,Click,-,-,2023-01-27
U017,P014,Click,-,-,2023-06-01
U018,P020,Click,-,-,2023-04-12
U018,P007,Review,-,Financial quickly most line far.,2023-05-28
U018,P082,Purchase,3.4,-,2023-02-07
U018,P007,Review,-,Around test safe knowledge think per nation.,2023-06-21
U018,P035,Purchase,4.8,-,2023-04-01
U018,P066,Click,-,-,2023-06-20
U018,P079,Purchase,2.7,-,2023-05-14
U018,P057,Click,-,-,2023-04-14
U018,P098,Review,-,Sport indeed many get world soldier.,2023-03-25
U019,P020,Purchase,2.7,-,2023-06-13
U019,P062,Review,-,Base way green leader name year specific.,2023-06-17
U019,P035,Purchase,4.4,-,2023-02-09
U019,P062,Purchase,3.6,-,2023-04-03
U019,P032,Click,-,-,2023-06-23
U019,P025,Click,-,-,2023-01-28
U019,P044,Review,-,Employee image color them become check.,2023-06-19
U020,P090,Click,-,-,2023-04-07
U020,P025,Review,-,Not once woman think change.,2023-04-28
U020,P090,Purchase,3.9,-,2023-04-22
U020,P030,Review,-,Least college it high play seem.,2023-05-16
U020,P071,Purchase,1.3,-,2023-03-15
U020,P079,Purchase,4.2,-,2023-05-13
U021,P047,Click,-,-,2023-01-16
U021,P037,Purchase,2.8,-,2023-05-20
U021,P044,Review,-,Past so return may put worker produce.,2023-01-06
U021,P022,Purchase,3.1,-,2023-01-31
U021,P086,Purchase,3.1,-,2023-02-15
U022,P094,Click,-,-,2023-05-16
U022,P046,Review,-,Account but interest actually traditional TV.,2023-02-26
U022,P017,Click,-,-,2023-06-26
U023,P088,Review,-,Central marriage court weight debate challenge.,2023-04-29
U023,P023,Purchase,1.7,-,2023-05-28
U023,P061,Click,-,-,2023-01-26
U023,P081,Review,-,Owner road how spend.,2023-04-02
U023,P051,Purchase,1.5,-,2023-06-03
U023,P050,Purchase,4.9,-,2023-05-29
U023,P039,Purchase,1.1,-,2023-04-10
U024,P096,Purchase,3.5,-,2023-03-10
U024,P052,Click,-,-,2023-03-27
U024,P091,Review,-,Most well bring mission buy.,2023-04-05
U025,P044,Click,-,-,2023-03-24
U025,P051,Review,-,Within mention good build good yet.,2023-02-05
U025,P005,Click,-,-,2023-06-20
U025,P075,Purchase,1.7,-,2023-02-02
U025,P022,Review,-,Treatment western design wait.,2023-05-24
U026,P027,Review,-,Back care play oil.,2023-04-10
U026,P031,Review,-,Provide player work politics which think door.,2023-04-12
U026,P044,Click,-,-,2023-01-04
U026,P096,Review,-,Tree itself factor difficult cut none.,2023-04-27
U026,P092,Purchase,4.2,-,2023-05-31
U026,P011,Click,-,-,2023-05-03
U026,P071,Purchase,1.4,-,2023-01-20
U026,P085,Click,-,-,2023-06-03
U026,P072,Purchase,1.0,-,2023-01-30
U026,P028,Click,-,-,2023-05-03
U027,P028,Purchase,3.7,-,2023-03-29
U027,P092,Review,-,Trial while site painting.,2023-03-07
U027,P017,Click,-,-,2023-01-06
U027,P029,Click,-,-,2023-01-04
U028,P073,Review,-,Instead first future war mouth end conference.,2023-02-02
U028,P013,Click,-,-,2023-06-05
U028,P037,Review,-,Week assume understand upon.,2023-06-26
U029,P007,Click,-,-,2023-06-09
U029,P030,Purchase,2.2,-,2023-05-11
U029,P072,Purchase,4.0,-,2023-01-28
U029,P071,Purchase,1.4,-,2023-05-09
U029,P025,Review,-,Reflect since Mrs new follow traditional.,2023-01-10
U030,P006,Review,-,Wall animal near the both than world section.,2023-05-11
U030,P091,Click,-,-,2023-03-10
U030,P003,Purchase,2.1,-,2023-04-16
U030,P091,Purchase,3.6,-,2023-04-08
U030,P072,Click,-,-,2023-05-07
U031,P042,Review,-,Leader run use million.,2023-01-01
U031,P021,Click,-,-,2023-01-21
U031,P055,Purchase,2.6,-,2023-02-13
U031,P075,Click,-,-,2023-01-09
U031,P082,Review,-,Night could possible notice wide government.,2023-02-19
U031,P098,Purchase,3.9,-,2023-03-08
U031,P019,Review,-,Ago house be test lay.,2023-06-18
U031,P057,Review,-,Ago human today analysis.,2023-05-09
U032,P045,Click,-,-,2023-02-05
U032,P002,Purchase,4.5,-,2023-03-17
U032,P044,Click,-,-,2023-03-29
U032,P029,Purchase,5.0,-,2023-04-19
U032,P071,Purchase,3.5,-,2023-02-14
U032,P071,Review,-,Officer air adult house.,2023-05-04
U032,P100,Purchase,5.0,-,2023-05-20
U033,P070,Click,-,-,2023-05-18
U033,P052,Review,-,Late nation through card all goal.,2023-02-23
U033,P086,Purchase,3.7,-,2023-06-07
U034,P046,Review,-,Wear hand best education of teacher our.,2023-03-14
U034,P099,Purchase,1.7,-,2023-01-18
U034,P061,Click,-,-,2023-06-24
U034,P005,Review,-,Expect factor shake business just.,2023-01-19
U034,P041,Review,-,Run event pick meeting.,2023-05-04
U034,P017,Review,-,National see real send sea idea officer list.,2023-06-13
U035,P085,Review,-,Plan ready family check easy since.,2023-05-05
U035,P076,Review,-,Attorney there clearly size white.,2023-02-26
U035,P088,Click,-,-,2023-04-17
U035,P038,Review,-,Easy or already word break check much.,2023-05-05
U035,P072,Click,-,-,2023-06-24
U035,P041,Purchase,2.8,-,2023-02-16
U035,P060,Click,-,-,2023-05-22
U035,P046,Purchase,1.7,-,2023-01-18
U035,P048,Review,-,Personal near join true.,2023-06-13
U036,P057,Review,-,Second clearly line baby.,2023-05-16
U036,P014,Click,-,-,2023-06-09
U036,P031,Purchase,2.0,-,2023-03-15
U036,P075,Review,-,Really indicate test policy.,2023-03-31
U036,P093,Review,-,Question might long wonder many.,2023-06-01
U036,P004,Purchase,2.4,-,2023-04-18
U036,P008,Click,-,-,2023-05-29
U036,P079,Purchase,1.1,-,2023-03-19
U036,P065,Review,-,Up throughout of worker.,2023-04-04
U037,P009,Review,-,Technology success care name sign American character bit.,2023-01-06
U037,P039,Purchase,1.1,-,2023-04-07
U037,P008,Click,-,-,2023-01-09
U037,P047,Click,-,-,2023-01-26
U037,P051,Click,-,-,2023-01-12
U037,P043,Review,-,Officer mind practice including gun research.,2023-02-13
U038,P088,Review,-,City name positive onto hit.,2023-02-15
U038,P057,Review,-,Gun view church also against right look movie.,2023-05-03
U038,P091,Review,-,Experience course weight whom present.,2023-05-09
U038,P024,Purchase,4.9,-,2023-02-14
U038,P025,Purchase,3.6,-,2023-04-08
U038,P054,Review,-,Subject bad decision.,2023-04-11
U038,P074,Click,-,-,2023-01-30
U038,P005,Click,-,-,2023-03-27
U038,P065,Review,-,However write trial.,2023-06-17
U039,P036,Purchase,1.2,-,2023-03-07
U039,P036,Click,-,-,2023-05-27
U039,P010,Review,-,Everybody sign poor wear wife move mouth detail.,2023-05-01
U039,P070,Click,-,-,2023-05-19
U039,P099,Purchase,4.3,-,2023-01-24
U039,P018,Purchase,2.2,-,2023-01-07
U039,P037,Purchase,1.2,-,2023-06-16
U039,P085,Click,-,-,2023-05-18
U039,P064,Click,-,-,2023-05-30
U040,P098,Click,-,-,2023-01-03
U040,P048,Review,-,Address executive remember study man whose.,2023-01-16
U040,P051,Review,-,Toward so imagine apply.,2023-06-19
U041,P097,Review,-,Energy point quickly child field become just.,2023-06-25
U041,P096,Purchase,3.7,-,2023-05-11
U041,P080,Purchase,4.8,-,2023-02-08
U041,P027,Click,-,-,2023-02-19
U042,P002,Review,-,Little dog reveal score letter reach across.,2023-06-24
U042,P058,Click,-,-,2023-02-08
U042,P012,Click,-,-,2023-01-17
U042,P093,Purchase,4.9,-,2023-06-15
U042,P027,Purchase,4.5,-,2023-03-04
U042,P023,Click,-,-,2023-05-11
U042,P089,Click,-,-,2023-02-06
U043,P051,Click,-,-,2023-01-14
U043,P021,Purchase,3.4,-,2023-04-04
U043,P061,Purchase,3.8,-,2023-05-04
U043,P088,Purchase,1.4,-,2023-04-14
U043,P030,Click,-,-,2023-01-05
U044,P039,Click,-,-,2023-05-14
U044,P001,Review,-,Foot myself raise stuff seek.,2023-05-16
U044,P049,Purchase,1.8,-,2023-02-13
U044,P035,Click,-,-,2023-01-11
U044,P081,Click,-,-,2023-03-25
U045,P006,Purchase,2.2,-,2023-01-15
U045,P008,Purchase,4.3,-,2023-01-03
U045,P072,Review,-,Well say maintain operation lead response.,2023-01-19
U045,P016,Click,-,-,2023-01-13
U045,P050,Purchase,3.4,-,2023-05-31
U045,P033,Purchase,2.8,-,2023-05-28
U046,P069,Purchase,3.4,-,2023-04-18
U046,P028,Purchase,2.8,-,2023-02-26
U046,P050,Review,-,Figure machine real knowledge both race.,2023-01-09
U046,P076,Review,-,Market require send husband person.,2023-05-05
U046,P087,Review,-,Rest born machine better.,2023-06-10
U046,P076,Purchase,3.0,-,2023-05-24
U046,P013,Review,-,Color issue usually raise talk way fill.,2023-04-10
U047,P028,Purchase,3.3,-,2023-01-26
U047,P079,Review,-,Usually before assume either word public performance fish.,2023-04-30
U047,P057,Review,-,Worker relate police though.,2023-01-28
U047,P007,Purchase,4.4,-,2023-05-03
U047,P049,Review,-,Popular question north type center contain.,2023-06-11
U047,P083,Click,-,-,2023-03-08
U047,P068,Click,-,-,2023-01-17
U047,P033,Review,-,Fund ahead son number guy.,2023-06-12
U047,P039,Click,-,-,2023-03-11
U047,P029,Review,-,Onto ago stock political.,2023-04-12
U048,P054,Review,-,Ok traditional include available evening prepare despite student.,2023-06-17
U048,P021,Review,-,Available together it impact.,2023-04-17
U048,P094,Purchase,3.2,-,2023-04-27
U048,P029,Click,-,-,2023-01-03
U048,P053,Review,-,Wide traditional bad radio grow.,2023-06-17
U048,P018,Click,-,-,2023-05-11
U048,P065,Purchase,4.8,-,2023-05-19
U048,P002,Click,-,-,2023-04-18
U048,P052,Purchase,3.7,-,2023-03-01
U049,P031,Review,-,Top audience sometimes short subject meeting star.,2023-03-24
U049,P081,Purchase,4.6,-,2023-04-15
U049,P050,Review,-,Guy itself have plant wonder company.,2023-04-08
U049,P057,Purchase,1.1,-,2023-06-17
U049,P058,Click,-,-,2023-02-12
U050,P042,Purchase,3.9,-,2023-05-28
U050,P004,Purchase,2.3,-,2023-01-04
U050,P049,Click,-,-,2023-05-13
U051,P037,Purchase,1.1,-,2023-03-12
U051,P054,Purchase,4.3,-,2023-04-14
U051,P053,Purchase,1.5,-,2023-06-07
U051,P012,Review,-,Property where itself.,2023-05-23
U052,P007,Click,-,-,2023-03-22
U052,P049,Review,-,Back hold American think decade all.,2023-02-02
U052,P045,Purchase,1.4,-,2023-04-18
U052,P062,Click,-,-,2023-02-26
U052,P059,Purchase,2.0,-,2023-04-04
U052,P097,Purchase,2.9,-,2023-05-06
U053,P058,Click,-,-,2023-06-14
U053,P069,Review,-,Start suggest source time.,2023-06-02
U053,P080,Review,-,Do make avoid rich each usually.,2023-03-05
U054,P001,Review,-,Machine American town as middle although.,2023-04-05
U054,P060,Click,-,-,2023-06-22
U054,P096,Click,-,-,2023-01-18
U055,P074,Review,-,Risk his discuss back figure fish.,2023-05-24
U055,P034,Review,-,Care land meeting memory.,2023-05-25
U055,P081,Click,-,-,2023-03-29
U055,P042,Purchase,4.2,-,2023-06-26
U055,P049,Review,-,Event line relate story treat station service degree.,2023-05-01
U055,P001,Review,-,About recently help near all another miss.,2023-04-01
U055,P050,Purchase,4.8,-,2023-02-15
U055,P055,Purchase,2.1,-,2023-05-08
U055,P014,Review,-,Perform both amount bed still necessary.,2023-03-31
U055,P014,Click,-,-,2023-06-09
U056,P068,Click,-,-,2023-04-09
U056,P044,Review,-,Thus front scene right ahead.,2023-01-11
U056,P095,Purchase,4.3,-,2023-02-12
U056,P065,Purchase,3.2,-,2023-01-02
U056,P013,Click,-,-,2023-01-30
U056,P027,Review,-,Trip participant away represent condition.,2023-04-13
U056,P098,Click,-,-,2023-01-12
U056,P089,Review,-,Gas term turn store heavy himself clearly.,2023-06-23
U056,P039,Review,-,Character event half fund.,2023-02-02
U056,P098,Click,-,-,2023-01-01
U057,P025,Purchase,4.8,-,2023-02-28
U057,P049,Click,-,-,2023-06-09
U057,P051,Review,-,Partner against keep over challenge.,2023-06-21
U057,P004,Click,-,-,2023-02-14
U057,P013,Purchase,4.4,-,2023-05-29
U057,P079,Purchase,3.3,-,2023-04-16
U057,P056,Click,-,-,2023-06-14
U058,P069,Click,-,-,2023-03-27
U058,P087,Purchase,1.7,-,2023-03-14
U058,P036,Purchase,3.7,-,2023-01-03
U058,P006,Review,-,Both add ability.,2023-06-16
U059,P089,Review,-,None senior modern free.,2023-04-10
U059,P078,Purchase,2.2,-,2023-01-27
U059,P061,Review,-,Meet hundred option term couple money heavy can.,2023-02-19
U059,P011,Click,-,-,2023-04-06
U059,P017,Click,-,-,2023-04-26
U060,P075,Purchase,3.1,-,2023-01-26
U060,P010,Click,-,-,2023-03-04
U060,P046,Review,-,Mr born begin where cut pay.,2023-03-18
U061,P061,Review,-,Heart power late need morning three trip.,2023-06-18
U061,P033,Click,-,-,2023-06-15
U061,P052,Click,-,-,2023-04-09
U061,P025,Review,-,Try after capital lawyer effort group large right.,2023-02-18
U061,P060,Purchase,2.3,-,2023-02-28
U061,P057,Purchase,1.4,-,2023-01-27
U061,P013,Click,-,-,2023-01-20
U061,P042,Review,-,Series view strong anything weight.,2023-03-14
U062,P098,Purchase,1.3,-,2023-01-04
U062,P066,Click,-,-,2023-03-20
U062,P051,Purchase,1.2,-,2023-03-08
U062,P035,Review,-,Stuff really attack.,2023-01-10
U062,P051,Purchase,4.3,-,2023-04-06
U062,P002,Click,-,-,2023-06-12
U062,P056,Review,-,Reflect food toward structure.,2023-06-24
U062,P052,Purchase,2.1,-,2023-05-15
U063,P057,Review,-,Early role join.,2023-03-04
U063,P017,Purchase,4.4,-,2023-02-13
U063,P076,Purchase,4.6,-,2023-01-14
U064,P052,Click,-,-,2023-02-09
U064,P053,Click,-,-,2023-03-24
U064,P056,Click,-,-,2023-02-12
U064,P012,Purchase,1.8,-,2023-04-20
U064,P066,Purchase,1.3,-,2023-01-09
U064,P027,Purchase,3.4,-,2023-04-04
U064,P022,Click,-,-,2023-02-06
U064,P090,Purchase,4.8,-,2023-04-22
U065,P089,Purchase,3.4,-,2023-01-27
U065,P083,Review,-,To offer hour.,2023-01-10
U065,P064,Purchase,3.9,-,2023-03-16
U065,P080,Click,-,-,2023-02-28
U066,P024,Click,-,-,2023-05-22
U066,P061,Purchase,4.2,-,2023-01-10
U066,P026,Click,-,-,2023-01-27
U066,P019,Click,-,-,2023-02-07
U066,P065,Purchase,3.0,-,2023-06-18
U066,P057,Click,-,-,2023-01-04
U066,P030,Review,-,Skin amount describe system effect none list.,2023-03-01
U066,P005,Click,-,-,2023-03-26
U067,P054,Purchase,2.6,-,2023-01-12
U067,P081,Review,-,Explain place party will it line cup.,2023-05-25
U067,P052,Click,-,-,2023-06-26
U067,P099,Purchase,4.1,-,2023-02-14
U067,P048,Purchase,4.3,-,2023-03-09
U068,P005,Click,-,-,2023-05-09
U068,P012,Review,-,Bar success table wide career last audience type.,2023-01-09
U068,P004,Click,-,-,2023-06-28
U068,P016,Review,-,Against kitchen into eye big.,2023-06-29
U068,P029,Review,-,Month size even Mr become.,2023-04-07
U068,P018,Purchase,2.4,-,2023-03-28
